validation_record_id,corpus_id,title,authors,year,source_title_or_issuer,document_type,doi,url,language,screening_text,full_text_status,final_category,reviewer_note
PEV-024,CWC-A6EF6A20E7D6,Habitat‐specific biogenic production and erosion influences net framework and sediment coral reef carbonate budgets,Kristen T. Brown | Dorothea Bender‐Champ | Michelle Achlatis | Rene M. van der Zande | Andreas Kubicek | Storm B. Martin | Carolina Castro‐Sanguino | Sophie Dove | Ove Hoegh‐Guldberg,2020,Limnology and Oceanography,article,10.1002/lno.11609,https://doi.org/10.1002/lno.11609,en,,OPEN_ACCESS_PDF,,
PEV-025,CWC-F2591A201364,Sub-lethal effects of water-based drilling muds on the deep-water sponge Geodia barretti,Katelyn J. Edge | Emma L. Johnston | Katherine A. Dafforn | Stuart L. Simpson | Tina Kutti | Raymond J. Bannister,2016,Environmental Pollution,article,10.1016/j.envpol.2016.02.047,https://doi.org/10.1016/j.envpol.2016.02.047,en,,OPEN_ACCESS_LANDING_PAGE,,
PEV-026,CWC-6504F386F1B3,Impact of the <i>Deepwater Horizon</i> oil spill on a deep-water coral community in the Gulf of Mexico,Helen K. White | Pen‐Yuan Hsing | Walter Cho | Timothy M. Shank | Erik E. Cordes | Andrea M. Quattrini | Robert K. Nelson | Richard Camilli | Amanda W.J. Demopoulos | Christopher R. German | James M. Brooks | Harry H. Roberts | William Shedd | Christopher M. Reddy | Charles R. Fisher,2012,Proceedings of the National Academy of Sciences,article,10.1073/pnas.1118029109,https://doi.org/10.1073/pnas.1118029109,en,"To assess the potential impact of the Deepwater Horizon oil spill on offshore ecosystems, 11 sites hosting deep-water coral communities were examined 3 to 4 mo after the well was capped. Healthy coral communities were observed at all sites >20 km from the Macondo well, including seven sites previously visited in September 2009, where the corals and communities appeared unchanged. However, at one site 11 km southwest of the Macondo well, coral colonies presented widespread signs of stress, including varying degrees of tissue loss, sclerite enlargement, excess mucous production, bleached commensal ophiuroids, and covering by brown flocculent material (floc). On the basis of these criteria the level of impact to individual colonies was ranked from 0 (least impact) to 4 (greatest impact). Of the 43 corals imaged at that site, 46% exhibited evidence of impact on more than half of the colony, whereas nearly a quarter of all of the corals showed impact to >90% of the colony. Additionally, 53% of these corals' ophiuroid associates displayed abnormal color and/or attachment posture. Analysis of hopanoid petroleum biomarkers isolated from the floc provides strong evidence that this material contained oil from the Macondo well. The presence of recently damaged and deceased corals beneath the path of a previously documented plume emanating from the Macondo well provides compelling evidence that the oil impacted deep-water ecosystems. Our findings underscore the unprecedented nature of the spill in terms of its magnitude, release at depth, and impact to deep-water ecosystems.",OPEN_ACCESS_PDF,,
PEV-027,CWC-A892DB47932A,Effect of suspended sediments on the pumping rates of three species of glass sponge in situ,Nathan J.R. Grant | Eugueni Matveev | A Kahn | Stephanie K. Archer | Amy E. Dunham | RJ Bannister | Dafne Eerkes‐Medrano | Sally P. Leys,2019,Marine Ecology Progress Series,article,10.3354/meps12939,https://doi.org/10.3354/meps12939,en,"The largest known glass sponge reefs in Canada are within the Hecate Strait and Queen Charlotte Sound Glass Sponge Reefs Marine Protected Area (HSQCS-MPA) in British Columbia. However, human activities outside the core MPA boundaries, such as trawling, can create plumes of suspended sediments capable of travelling large distances. We studied the response of 3 glass sponge species to changes in suspended sediment concentrations (SSCs) at 170 m depth inside the HSQCS-MPA. Two species reduced excurrent flow rate in response to natural and experimentally induced increases in suspended sediment. Background suspended sediment levels were low and showed little variation (2.71 +/- 0.09 mg l(-1), mean +/- SD). Species varied in the threshold of SSCs that triggered arrests. Sediment concentrations of 2.8-6.4 mg l(-1) caused arrests in Rhabdocalyptus dawsoni, while Heterochone calyx did not arrest until concentrations reached 5-10 mg l(-1), Very small, but prolonged increases of suspended sediments (<1 mg l(-1) for R. dawsoni and 3.2 mg l(-1) for H. calyx) caused arrests of several hours in R. dawsoni and prolonged periods of reduced flow in H. calyx. No arrests were observed in Farrea occa, even after repeated exposures up to 57 mg l(-1). A sediment transport model showed that sediment concentrations can remain high enough to affect sponge behaviour as far as 2.39 km from the source of the plume. The results highlight the importance of understanding the biology of different species for establishment of adequate boundaries in MPAs.",OPEN_ACCESS_PDF,,
PEV-028,CWC-D47B9A6D53DA,Glass sponges arrest pumping in response to sediment: implications for the physiology of the hexactinellid conduction system,Gabrielle J. Tompkins-MacDonald | Sally P. Leys,2008,Marine Biology,article,10.1007/s00227-008-0987-y,https://doi.org/10.1007/s00227-008-0987-y,en,"The hexactinellid sponge Rhabdocalyptus dawsoni propagates electrical signals to arrest its feeding current in response to mechanical stimuli and sediment. The deepwater habitat of other species of glass sponge, and the difficulty of working with the tissue in vitro have so far prevented confirmation of electrical signaling in other members of the Class. Here we show in laboratory experiments (ex situ) that mechanical and sediment stimuli trigger immediate arrest in R. dawsoni and in a second species of hexactinellid, Aphrocallistes vastus, suggesting that rapid signaling may be a general feature of glass sponge tissue. Further, responses of the two species differed, suggestive of underlying physiological differences in the conduction system. R. dawsoni and A. vastus were sensitive to sediment but arrests were often prolonged in R. dawsoni, whereas in A. vastus pumping resumed immediately following each arrest. Fine sediment (< 25 mu m) caused immediate arrests in R. dawsoni and A. vastus, but with a higher stimulus threshold in A. vastus. Large amounts of sediment triggered repeated arrests in both species, and prolonged exposure to sediment (over 4 h) caused a gradual reduction in pumping, with recovery taking up to 25 h. During recovery, both species of sponge carried out repeated arrests, which had a precise periodicity indicative of pacemaker activity. Scanning electron microscopy of the tissue of these specimens showed many chambers were clogged. The results suggest that the glass sponge conduction system generates arrest of the feeding current that prevent uptake of small amounts of sediment, and that each species has different threshold sensitivities. However, ongoing exposure to sediment can clog the filtration apparatus.",LIKELY_FULL_DOCUMENT_URL,,
PEV-029,CWC-EDD1DC139DFA,Coastal seawater turbidity and thermal stress control growth of reef-building Porites spp. corals in Fiji,Ana Samperiz | Sindia Sosdian | Erica Hendy | Kenneth G. Johnson | Eleanor H. John | Stacy D. Jupiter | Simon Albert,2025,Scientific Reports,article,10.1038/s41598-025-02283-6,https://doi.org/10.1038/s41598-025-02283-6,en,"Abstract Nearshore reefs, at the interface of land-sea interactions, provide essential ecosystem services, but are susceptible to multiple global and local stressors. These stressors can detrimentally impact coral growth and the continuity of the reef framework. Here, we analyse coral growth records (1998 – 2016) of massive Porites spp. colonies from nearshore reefs in Fiji. Our aim is to assess the role of thermal stress and turbidity on coral growth across a range of environments. Our findings reveal a negative linear relationship between linear extension and seawater turbidity across locations (GLM, R 2 = 0.42, p &lt; 0.001), indicating that average coral growth is significantly influenced by local environmental conditions. On interannual timescales, all locations experienced a 14% to 30% decrease in linear extension in response to acute thermal stress during the 2013 – 2016 period. This finding highlights the existence of compounding effects between water quality and thermal stress. We suggest that inshore, long-lived massive hard corals in areas of high turbidity are more vulnerable to increasing SSTs due to an already reduced mean growth. Integrated management strategies in these regions that considers managing for multiple, interacting local stressors are warranted to enhance resilience.",OPEN_ACCESS_PDF,,
PEV-030,CWC-9BFC61A48726,Monitoring strategies for drill cutting discharge in the vicinity of cold-water coral ecosystems,Autun Purser | Laurenz Thomsen,2012,Marine Pollution Bulletin,article,10.1016/j.marpolbul.2012.08.003,https://doi.org/10.1016/j.marpolbul.2012.08.003,en,"Cold-water coral reefs represent some of the most biodiverse and biomass rich ecosystems in the marine environment. Despite this, ecosystem functioning is still poorly understood and the susceptibility of key species to anthropogenic activities and pollutants is unknown. In European waters, cold-water corals are often found in greatest abundance on the continental margin, often in regions rich in hydrocarbon reserves. In this viewpoint paper we discuss some of the current strategies employed in predicting and minimizing exposure of cold-water coral reef ecosystems on the Norwegian margin to waste materials produced during offshore drilling operations by the oil and gas industry. In the light of recent in situ and experimental research conducted with the key reef species Lophelia pertusa, we present some possible improvements to these strategies which may be utilized by industry and managers to further reduce the likelihood of exposure. We further highlight important outstanding research questions in this field. (C) 2012 Elsevier Ltd. All rights reserved.",OPEN_ACCESS_LANDING_PAGE,,
PEV-031,CWC-EDB1480675F9,"Effects and recovery of larvae of the cold-water coral Lophelia pertusa (Desmophyllum pertusum) exposed to suspended bentonite, barite and drill cuttings",Johanna Järnegren | Sandra Brooke | Henrik Jensen,2020,Marine Environmental Research,article,10.1016/j.marenvres.2020.104996,https://doi.org/10.1016/j.marenvres.2020.104996,en,"Fossil fuel drilling operations create sediment plumes and release waste materials into the ocean. These operations sometimes occur close to sensitive marine ecosystems, such as cold-water corals. While there have been several studies on the effects of energy industry activities on adult corals, there is very little information on potential impacts to their early life history stages. Larval stages of many marine organisms, including cold-water corals use cilia as a means of feeding and swimming, and if these structures become clogged with suspended particulates, the larvae may sink and be lost to the system. The objective of this study was to understand the response of Lophelia pertusa larvae to a different drilling waste components, and assess post-exposure recovery. Larvae of two ages (eight and 21 days) were exposed to a range of concentrations of bentonite, barite and drill cuttings. Larval sensitivity was assessed using the concentration at which 50% of the larvae showed behavioral effects (EC50) or lethal effects (LC50). Larvae showed greatest sensitivity to bentonite, followed by barite and drill cuttings, and also showed age-related responses that differed among the test materials. Post exposure recovery was variable across materials, with larvae exposed to bentonite having the lowest recovery rates. Understanding the vulnerability of early life history stages to human activities can help inform management strategies to preserve reproductive capacity of important marine ecosystems.",OPEN_ACCESS_PDF,,
PEV-032,CWC-1EDA9D88322A,Effects of sediment on the survival of asexually produced sponge recruits,Manuel Maldonado | Karen Giraud | Carmen Carmona,2008,Marine Biology,article,10.1007/s00227-008-0956-5,https://doi.org/10.1007/s00227-008-0956-5,en,"Sediment deposition is known to affect the structure of marine rocky-bottom communities, but its specific effects on some key organisms, such as sponges, remain poorly investigated. In a 125-day field experiment involving different treatments of exposure to sediment deposition, we investigated survival of asexually produced recruits of the sublittoral demosponge Scopalina lophyropoda, a model organism suitable to understand similar processes in other sponges. A total of 660 explants obtained from 11 non-clonal sponges (explant donors) were distributed on 30 experimental plates. Each donor sponge contributed two clonal explants per plate, one settled under a roof at a silt-protected position and the other at a silt-exposed position. Plates were installed at the rocky walls of the natural community, also at the pillars of a local harbor where the sponge does not occur naturally. A 3-way ANOVA testing for differences in explant longevity as a function of explant donor, exposure to sediment, and habitat detected that longevity was affected by both an undetermined genetic condition of the explant donor and exposure to silt. Silt-protected explants lived longer than silt-exposed explants. A significant ""Silt-exposure x Habitat"" interaction detected that silt-exposed explants lived shorter within the harbor than in the natural community, suggesting that harbor silt, which was notably finer, is more deleterious. Inspection of daily mortality rates revealed that the detrimental effects of silt were very evident during the first 20 days in treatments and irrespective of habitat. Then, mortality rates progressively decreased, reaching negligible values in all 4 sponge groups by day 65. At this stage, an undetermined mortality factor other than purely sediment deposition reactivated mortality in all 4 sponge groups, but it affected more intensely the sponges in the harbor, irrespective of being protected from or exposed to sediment deposition. All together, the results of our field experiment suggest that sediment loads are a major mortality factor among small sponge individuals in sublittoral rocky communities. Because a significant ""donor factor"" suggests an unidentified ""genetic component"" to be involved in the ability to cope with sediment, natural or man-driven processes increasing coastal sediment deposition are susceptible to induce changes not only in the abundance but also the genetic structure of the sponge populations in the long term.",NOT_IDENTIFIED,,
PEV-033,CWC-29A471B9BFF1,"Sedimentation stress in a scleractinian coral exposed to terrestrial and marine sediments with contrasting physical, organic and geochemical properties",Miriam Weber | Christian Lott | Katharina Fabricius,2006,Journal of Experimental Marine Biology and Ecology,article,10.1016/j.jembe.2006.04.007,https://doi.org/10.1016/j.jembe.2006.04.007,en,,NOT_IDENTIFIED,,
PEV-034,CWC-D962354BD236,"Impact of particulate sediment, bentonite and barite (oil-drilling waste) on net fluxes of oxygen and nitrogen in Arctic-boreal sponges",James Kar‐Hei Fang | Christine Rooks | Cathinka M. Krogness | Tina Kutti | Friederike Hoffmann | Raymond J. Bannister,2018,Environmental Pollution,article,10.1016/j.envpol.2017.11.092,https://doi.org/10.1016/j.envpol.2017.11.092,en,,NOT_IDENTIFIED,,
PEV-035,CWC-65CF36C85E16,Effects of drill cuttings on larvae of the cold-water coral Lophelia pertusa,Johanna Järnegren | Sandra Brooke | Henrik Jensen,2016,Deep Sea Research Part II Topical Studies in Oceanography,article,10.1016/j.dsr2.2016.06.014,https://doi.org/10.1016/j.dsr2.2016.06.014,en,"Fossil fuel consumption is predicted to dominate energy needs until at least 2040. To make up for reduced production from maturing fields, oil and gas exploration activities on the Norwegian continental shelf have greatly increased over the past several years. Strict emission controls have resulted in a substantial reduction in the release of hazardous chemicals. However, because of the increased exploration the discharges of water-based drill cuttings and muds have increased substantially, temporarily increasing water column sediment loads. The stony coral Lophelia pertusa is the most widely distributed and well-studied of the structure forming cold water corals (CWC) and it thrives in Norwegian waters where many reefs are located in the vicinity of oil platforms or exploration areas. This species provides habitat for a diverse and abundant assemblage of invertebrates and fishes, including commercially valuable species. High sediment loads are known to negatively affect adult corals, but impacts on the early life history stages are unknown. We investigated the effects of a range of drill cutting concentrations (0.5-640 ppm) on larvae of L. pertusa at ages five days and 15-20 days. One set of experiments was conducted in static experimental chambers that exposed larvae to decreasing concentrations over time, and the other maintained continuous drill cutting concentrations for the duration of the experiment (24 h). Increased sediment load for a duration of 24 h caused significant larval mortality, but there was an age-dependent difference in sensitivity of larvae. Younger larvae were significantly more susceptible to lower concentrations of drill cuttings than older larvae, while the older larvae were significantly more affected at higher concentrations. Five day old larvae were affected at treatment concentration 40 ppm. The larval cilia became clogged, preventing the larvae from swimming actively and ultimately causing mortality. Larvae of many species use cilia for swimming and feeding, so negative impacts of increased sediment may not be limited to corals. (C) 2016 Elsevier Ltd. All rights reserved.",NOT_IDENTIFIED,,
PEV-036,CWC-8348819C8DEA,Deep-water bamboo coral forests in a muddy Arctic environment,Bárbara de Moura Neves | Evan Edinger | Claude Hillaire‐Marcel | ESPRIT HEESTAND SAUCIER | Scott C. France | Margaret A. Treble | Vonda E. Wareham,2014,Marine Biodiversity,article,10.1007/s12526-014-0291-7,https://doi.org/10.1007/s12526-014-0291-7,en,,NOT_IDENTIFIED,,
